Code,GSS_CODE,Name,NAME,ONS_INNER,Pivot Field Names,SUB_2006,SUB_2009,Year,CO2 emissions per capita,Domestic 2005,Domestic 2006,Domestic 2007,Domestic 2008,Domestic 2009,Domestic 2010,Domestic 2011,Domestic 2012,Domestic 2013,Domestic 2014,Geometry,Grand Total 2005,Grand Total 2006,Grand Total 2007,Grand Total 2008,Grand Total 2009,Grand Total 2010,Grand Total 2011,Grand Total 2012,Grand Total 2013,Grand Total 2014,HECTARES,Industry and Commercial 2005,Industry and Commercial 2006,Industry and Commercial 2007,Industry and Commercial 2008,Industry and Commercial 2009,Industry and Commercial 2010,Industry and Commercial 2011,Industry and Commercial 2012,Industry and Commercial 2013,Industry and Commercial 2014,N. LULUCF Net Emissions 2005,N. LULUCF Net Emissions 2006,N. LULUCF Net Emissions 2007,N. LULUCF Net Emissions 2008,N. LULUCF Net Emissions 2009,N. LULUCF Net Emissions 2010,N. LULUCF Net Emissions 2011,N. LULUCF Net Emissions 2012,N. LULUCF Net Emissions 2013,N. LULUCF Net Emissions 2014,NONLD_AREA,"Population ('000s, mid-year estimate) 2005","Population ('000s, mid-year estimate) 2006","Population ('000s, mid-year estimate) 2007","Population ('000s, mid-year estimate) 2008","Population ('000s, mid-year estimate) 2009","Population ('000s, mid-year estimate) 2010","Population ('000s, mid-year estimate) 2011","Population ('000s, mid-year estimate) 2012","Population ('000s, mid-year estimate) 2013","Population ('000s, mid-year estimate) 2014",Transport 2005,Transport 2006,Transport 2007,Transport 2008,Transport 2009,Transport 2010,Transport 2011,Transport 2012,Transport 2013,Transport 2014
E09000033,E09000033,Westminster,Westminster,T,Per Capita Emissions (t) 2009,,,1/1/2009,14.239473712,504.198024119,507.462288751,498.176666013,503.425617620,463.434103608,497.107187722,439.364385720,474.098424038,455.647116919,371.255052540,Polygon,3382.775493245,3567.550764915,3434.144227556,3483.506741525,3089.681006120,3266.119016935,2938.715169263,3177.518602724,3028.744915808,2502.045957585,2203.005,2529.053451687,2712.467157042,2603.769502024,2676.066717560,2337.837288289,2480.770902201,2224.586608442,2429.254628089,2304.131454180,1844.326719294,0.693570722,0.648090755,0.609778725,0.570076496,0.538652123,0.501919434,0.467158674,0.429896383,0.404377039,0.369014978,54.308,223.132,222.829,220.619,218.673,216.98,217.187,219.582,223.858,226.841,233.292,348.830446717,346.973228367,331.588280794,303.444329849,287.870962101,287.739007578,274.297016427,273.735654213,268.561967671,286.095170773
E09000033,E09000033,Westminster,Westminster,T,Per Capita Emissions (t) 2008,,,1/1/2008,15.930209681,504.198024119,507.462288751,498.176666013,503.425617620,463.434103608,497.107187722,439.364385720,474.098424038,455.647116919,371.255052540,Polygon,3382.775493245,3567.550764915,3434.144227556,3483.506741525,3089.681006120,3266.119016935,2938.715169263,3177.518602724,3028.744915808,2502.045957585,2203.005,2529.053451687,2712.467157042,2603.769502024,2676.066717560,2337.837288289,2480.770902201,2224.586608442,2429.254628089,2304.131454180,1844.326719294,0.693570722,0.648090755,0.609778725,0.570076496,0.538652123,0.501919434,0.467158674,0.429896383,0.404377039,0.369014978,54.308,223.132,222.829,220.619,218.673,216.98,217.187,219.582,223.858,226.841,233.292,348.830446717,346.973228367,331.588280794,303.444329849,287.870962101,287.739007578,274.297016427,273.735654213,268.561967671,286.095170773
E09000033,E09000033,Westminster,Westminster,T,Per Capita Emissions (t) 2007,,,1/1/2007,15.565949567,504.198024119,507.462288751,498.176666013,503.425617620,463.434103608,497.107187722,439.364385720,474.098424038,455.647116919,371.255052540,Polygon,3382.775493245,3567.550764915,3434.144227556,3483.506741525,3089.681006120,3266.119016935,2938.715169263,3177.518602724,3028.744915808,2502.045957585,2203.005,2529.053451687,2712.467157042,2603.769502024,2676.066717560,2337.837288289,2480.770902201,2224.586608442,2429.254628089,2304.131454180,1844.326719294,0.693570722,0.648090755,0.609778725,0.570076496,0.538652123,0.501919434,0.467158674,0.429896383,0.404377039,0.369014978,54.308,223.132,222.829,220.619,218.673,216.98,217.187,219.582,223.858,226.841,233.292,348.830446717,346.973228367,331.588280794,303.444329849,287.870962101,287.739007578,274.297016427,273.735654213,268.561967671,286.095170773
E09000033,E09000033,Westminster,Westminster,T,Per Capita Emissions (t) 2006,,,1/1/2006,16.010262421,504.198024119,507.462288751,498.176666013,503.425617620,463.434103608,497.107187722,439.364385720,474.098424038,455.647116919,371.255052540,Polygon,3382.775493245,3567.550764915,3434.144227556,3483.506741525,3089.681006120,3266.119016935,2938.715169263,3177.518602724,3028.744915808,2502.045957585,2203.005,2529.053451687,2712.467157042,2603.769502024,2676.066717560,2337.837288289,2480.770902201,2224.586608442,2429.254628089,2304.131454180,1844.326719294,0.693570722,0.648090755,0.609778725,0.570076496,0.538652123,0.501919434,0.467158674,0.429896383,0.404377039,0.369014978,54.308,223.132,222.829,220.619,218.673,216.98,217.187,219.582,223.858,226.841,233.292,348.830446717,346.973228367,331.588280794,303.444329849,287.870962101,287.739007578,274.297016427,273.735654213,268.561967671,286.095170773
E09000033,E09000033,Westminster,Westminster,T,Per Capita Emissions (t) 2005,,,1/1/2005,15.160422948,504.198024119,507.462288751,498.176666013,503.425617620,463.434103608,497.107187722,439.364385720,474.098424038,455.647116919,371.255052540,Polygon,3382.775493245,3567.550764915,3434.144227556,3483.506741525,3089.681006120,3266.119016935,2938.715169263,3177.518602724,3028.744915808,2502.045957585,2203.005,2529.053451687,2712.467157042,2603.769502024,2676.066717560,2337.837288289,2480.770902201,2224.586608442,2429.254628089,2304.131454180,1844.326719294,0.693570722,0.648090755,0.609778725,0.570076496,0.538652123,0.501919434,0.467158674,0.429896383,0.404377039,0.369014978,54.308,223.132,222.829,220.619,218.673,216.98,217.187,219.582,223.858,226.841,233.292,348.830446717,346.973228367,331.588280794,303.444329849,287.870962101,287.739007578,274.297016427,273.735654213,268.561967671,286.095170773
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2014,,,1/1/2014,5.485798649,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2013,,,1/1/2013,6.681066667,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2012,,,1/1/2012,7.086756621,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2011,,,1/1/2011,6.744002372,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2010,,,1/1/2010,7.613450486,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2009,,,1/1/2009,7.302501042,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2008,,,1/1/2008,8.188465576,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2007,,,1/1/2007,8.272629007,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2006,,,1/1/2006,8.539179296,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000007,E09000007,Camden,Camden,T,Per Capita Emissions (t) 2005,,,1/1/2005,7.975570664,428.985144709,427.343205314,418.435588844,424.893145005,389.369081843,416.370381957,365.526730336,393.389078905,384.328783863,319.447200756,Polygon,1683.547260371,1802.040085181,1749.826487653,1721.813221969,1554.877731900,1634.798155512,1484.267250131,1594.250942965,1534.767953746,1288.317869547,2178.932,1079.344979974,1200.381264679,1159.062679101,1133.293264871,1004.509243325,1064.258084071,970.483054026,1057.979190536,1011.034436167,824.535504180,0.708272596,0.663622360,0.625625896,0.586490691,0.555004478,0.518521424,0.483992022,0.447297687,0.421388444,0.386623418,0,211.088,211.032,211.52,210.273,212.924,214.725,220.087,224.962,229.719,234.846,174.508863091,173.651992829,171.702593812,163.040321402,160.444402254,153.651168060,147.773473747,142.435375837,138.983345271,143.948541193
E09000030,E09000030,Tower Hamlets,Tower Hamlets,T,Per Capita Emissions (t) 2014,,,1/1/2014,5.997809955,369.691325504,373.658921326,372.692539962,381.809326347,350.585111867,375.926236003,336.741244454,365.265950400,349.345876235,291.055758438,Polygon,2006.777864005,2352.512760768,2335.587356651,2388.154989689,2102.091646524,2242.360251700,1922.031308134,2090.410797144,1954.809493688,1703.467994431,2157.501,1321.817230535,1661.547103230,1645.653587750,1705.960867825,1459.748264943,1573.785760984,1307.649204295,1458.519251913,1342.380311554,1144.045741904,0.687932490,0.643882167,0.606591475,0.568062195,0.537322498,0.501543787,0.467683465,0.431539114,0.406413667,0.372140238,179.707,213.382,218.4,225.251,231.893,240.495,248.52,256.012,263.003,272.89,284.015,314.581375476,316.662854045,316.634637464,299.816733321,291.220947217,292.146710925,277.173175919,266.194055717,262.676892232,267.994353850
E09000030,E09000030,Tower Hamlets,Tower Hamlets,T,Per Capita Emissions (t) 2013,,,1/1/2013,7.163360672,369.691325504,373.658921326,372.692539962,381.809326347,350.585111867,375.926236003,336.741244454,365.265950400,349.345876235,291.055758438,Polygon,2006.777864005,2352.512760768,2335.587356651,2388.154989689,2102.091646524,2242.360251700,1922.031308134,2090.410797144,1954.809493688,1703.467994431,2157.501,1321.817230535,1661.547103230,1645.653587750,1705.960867825,1459.748264943,1573.785760984,1307.649204295,1458.519251913,1342.380311554,1144.045741904,0.687932490,0.643882167,0.606591475,0.568062195,0.537322498,0.501543787,0.467683465,0.431539114,0.406413667,0.372140238,179.707,213.382,218.4,225.251,231.893,240.495,248.52,256.012,263.003,272.89,284.015,314.581375476,316.662854045,316.634637464,299.816733321,291.220947217,292.146710925,277.173175919,266.194055717,262.676892232,267.994353850
E09000030,E09000030,Tower Hamlets,Tower Hamlets,T,Per Capita Emissions (t) 2012,,,1/1/2012,7.948239363,369.691325504,373.658921326,372.692539962,381.809326347,350.585111867,375.926236003,336.741244454,365.265950400,349.345876235,291.055758438,Polygon,2006.777864005,2352.512760768,2335.587356651,2388.154989689,2102.091646524,2242.360251700,1922.031308134,2090.410797144,1954.809493688,1703.467994431,2157.501,1321.817230535,1661.547103230,1645.653587750,1705.960867825,1459.748264943,1573.785760984,1307.649204295,1458.519251913,1342.380311554,1144.045741904,0.687932490,0.643882167,0.606591475,0.568062195,0.537322498,0.501543787,0.467683465,0.431539114,0.406413667,0.372140238,179.707,213.382,218.4,225.251,231.893,240.495,248.52,256.012,263.003,272.89,284.015,314.581375476,316.662854045,316.634637464,299.816733321,291.220947217,292.146710925,277.173175919,266.194055717,262.676892232,267.994353850
E09000030,E09000030,Tower Hamlets,Tower Hamlets,T,Per Capita Emissions (t) 2011,,,1/1/2011,7.507582879,369.691325504,373.658921326,372.692539962,381.809326347,350.585111867,375.926236003,336.741244454,365.265950400,349.345876235,291.055758438,Polygon,2006.777864005,2352.512760768,2335.587356651,2388.154989689,2102.091646524,2242.360251700,1922.031308134,2090.410797144,1954.809493688,1703.467994431,2157.501,1321.817230535,1661.547103230,1645.653587750,1705.960867825,1459.748264943,1573.785760984,1307.649204295,1458.519251913,1342.380311554,1144.045741904,0.687932490,0.643882167,0.606591475,0.568062195,0.537322498,0.501543787,0.467683465,0.431539114,0.406413667,0.372140238,179.707,213.382,218.4,225.251,231.893,240.495,248.52,256.012,263.003,272.89,284.015,314.581375476,316.662854045,316.634637464,299.816733321,291.220947217,292.146710925,277.173175919,266.194055717,262.676892232,267.994353850
